[Data]
Lane,Sample_ID,index,Sample_Project
2,Gex-13Day14T-cell-C3,SI-GA-C3,1911UNHS-0191
2,Gex-13Day14PBMC-D3,SI-GA-D3,1911UNHS-0191
2,Gex-13Manufactured-E3,SI-GA-E3,1911UNHS-0191
2,Gex-12Day14T-cell-F3,SI-GA-F3,1911UNHS-0191
2,Gex-12Day14PBMC-G3,SI-GA-G3,1911UNHS-0191
2,Gex-12Manufactured-H3,SI-GA-H3,1911UNHS-0191
2,GEX-12Day30T-cell_pellet-B5,SI-GA-B5,1911UNHS-0191
2,GEX-12Day30PBMCpellet-C5,SI-GA-C5,1911UNHS-0191
2,GEX-13Day30T-cellpellet-D5,SI-GA-D5,1911UNHS-0191
2,GEX-13Day30PBMCpellet-E5,SI-GA-E5,1911UNHS-0191
2,GEX-5Manufacturedpellet-F5,SI-GA-F5,1911UNHS-0191
2,GEX-4Manufactured-G5,SI-GA-G5,1911UNHS-0191
2,GEX-9Manufactured-H5,SI-GA-H5,1911UNHS-0191
2,GEX-10Manufactured-A6,SI-GA-A6,1911UNHS-0191
2,GEX-11Manufactured-B6,SI-GA-B6,1911UNHS-0191
2,GEX-14-Manufactured_pellet-A8,SI-GA-A8,1911UNHS-0191
2,GEX-4-Day14-PBMC_pellet-B8,SI-GA-B8,1911UNHS-0191
2,GEX-4-Day14-CarT_pellet-C8,SI-GA-C8,1911UNHS-0191
2,GEX-5-Day14-PBMC_pellet-D8,SI-GA-D8,1911UNHS-0191
2,GEX-5-Day14-CarT_pellet-E8,SI-GA-E8,1911UNHS-0191
2,GEX-5-Day30-PBMC_pellet-F8,SI-GA-F8,1911UNHS-0191
2,GEX-5-Day30-CarT_pellet-G8,SI-GA-G8,1911UNHS-0191
2,GEX-1-Day14-PBMC_PELLET-H8,SI-GA-H8,1911UNHS-0191
2,GEX-1-Day14-CarT_PELLET-A9,SI-GA-A9,1911UNHS-0191
2,GEX-1-Day30-PBMC_PELLET-B9,SI-GA-B9,1911UNHS-0191
2,GEX-1-Day30-CarT_PELLET-C9,SI-GA-C9,1911UNHS-0191
2,GEX-4-Day30-PBMC_PELLET-D9,SI-GA-D9,1911UNHS-0191
2,GEX-4-Day30-CarT_PELLET-E9,SI-GA-E9,1911UNHS-0191
2,GEX-15_PELLET-F9,SI-GA-F9,1911UNHS-0191
2,FB-13Day14T-cell-E2,SI-GA-E2,1911UNHS-0191
2,FB-13Day14PBMC-F2,SI-GA-F2,1911UNHS-0191
2,FB-13Manufactured-G2,SI-GA-G2,1911UNHS-0191
2,FB-12Day14T-cell-H2,SI-GA-H2,1911UNHS-0191
2,FB-12Day14PBMC-A3,SI-GA-A3,1911UNHS-0191
2,FB-12Manufactured-B3,SI-GA-B3,1911UNHS-0191
2,FB-12Day30T-cell_supernatant-A4,SI-GA-A4,1911UNHS-0191
2,FB-12Day30PBMCsupernatant-B4,SI-GA-B4,1911UNHS-0191
2,FB-13Day30T-cellsupernatant-C4,SI-GA-C4,1911UNHS-0191
2,FB-13Day30PBMCsupernatant-D4,SI-GA-D4,1911UNHS-0191
2,FB-5Manufacturedsupernatant-E4,SI-GA-E4,1911UNHS-0191
2,FB-4Manufactured-F4,SI-GA-F4,1911UNHS-0191
2,FB-9Manufactured-G4,SI-GA-G4,1911UNHS-0191
2,FB-10Manufactured-H4,SI-GA-H4,1911UNHS-0191
2,FB-11Manufactured-A5,SI-GA-A5,1911UNHS-0191
2,FB-14-Manufactured_supernatant-C6,SI-GA-C6,1911UNHS-0191
2,FB-4-Day14-PBMC_supernatant-D6,SI-GA-D6,1911UNHS-0191
2,FB-4-Day14-CarT_supernatant-E6,SI-GA-E6,1911UNHS-0191
2,FB-5-Day14-PBMC_supernatant-F6,SI-GA-F6,1911UNHS-0191
2,FB-5-Day14-CarT_supernatant-G6,SI-GA-G6,1911UNHS-0191
2,FB-5-Day30-PBMC_supernatant-H6,SI-GA-H6,1911UNHS-0191
2,FB-5-Day30-CarT_supernatant-A7,SI-GA-A7,1911UNHS-0191
2,FB-1-Day14-PBMC_supernatant-B7,SI-GA-B7,1911UNHS-0191
2,FB-1-Day14-CarT_supernatant-C7,SI-GA-C7,1911UNHS-0191
2,FB-1-Day30-PBMC_supernatant-D7,SI-GA-D7,1911UNHS-0191
2,FB-1-Day30-CarT_supernatant-E7,SI-GA-E7,1911UNHS-0191
2,FB-4-Day30-PBMC_supernatant-F7,SI-GA-F7,1911UNHS-0191
2,FB-4-Day30-CarT_supernatant-G7,SI-GA-G7,1911UNHS-0191
2,FB-15_supernatant-H7,SI-GA-H7,1911UNHS-0191
